idx	sb_ref	ref_fieldname	status
0	56572	RACS_0236-28	ok
1	56644	RACS_0324-28	ok
2	56647	RACS_0524-28	ok
3	56500	RACS_0612-28	ok
4	56721	RACS_0700-28	ok
5	56667	RACS_1124-28	ok
6	56669	RACS_1212-28	ok
7	56868	RACS_1324-28	ok
8	56374	RACS_1612-28	ok
9	59068	RACS_1900-28	ok
10	59072	RACS_2012-28	ok
11	56474	RACS_2300-28	ok
12	57235	RACS_1900-28	ok
13	57239	RACS_2012-28	ok
14	81082	REF_0324-28	ok
15	81083	REF_0236-28	ok
16	81084	REF_0324-28	ok
17	81085	REF_0236-28	ok
18	81086	REF_0324-28	ok
19	81099	REF_0236-28	ok
20	81100	REF_0324-28	ok
21	81104	REF_1212-28	ok
22	81105	REF_1324-28	ok
23	81098	REF_0524-28	ok
24	81138	REF_0236-28	ok
25	81139	REF_0324-28	ok
26	81140	REF_0236-28	ok
27	81141	REF_0324-28	ok
28	81142	REF_0236-28	ok
29	81143	REF_0324-28	ok
30	81178	REF_0324-28	ok
31	81180	REF_0236-28	ok
32	81181	REF_0324-28	ok
33	81182	REF_0236-28	ok
34	81183	REF_0324-28	ok
35	81184	REF_0236-28	ok
36	81185	REF_0324-28	ok
37	81188	REF_1212-28	ok
38	81189	REF_1324-28	ok
39	81190	REF_1212-28	ok
40	81191	REF_1324-28	ok
41	81193	REF_1324-28	ok
42	81179	REF_2300-28	ok
43	81192	REF_1612-28	ok
44	81202	REF_0236-28	ok
45	81206	REF_1212-28	ok
46	81207	REF_1324-28	ok
47	81208	REF_1212-28	ok
48	81209	REF_1324-28	ok
49	81210	REF_1612-28	ok
